[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Handler: Signal Handler
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Hardware Model: iPhone13,4
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Process: QQMusic [41257]
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Path: /private/var/containers/Bundle/Application/40DC0945-CFF7-451A-B519-3B3E63ED93CD/QQMusic.app
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Identifier: com.tencent.ios.qqmusic
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Version: 10.17.5(22412)-102_Debug
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Code Type: ARM-64 (Native)
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Parent Process:  [1]
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Date/Time: 2021-08-27 12:54:55.285 +0800
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] OS Version: iPhone OS 14.6 (18F72)
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Report Version: 104
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] SDK start time: 2021-08-27 12:54:54
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] last record time delta : 1285 ms
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] RDM SDK Version: 2.4.5.4
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] RDM Registed Uin : 1055978080
[E][2021-08-27 +8.0 12:54:55.293][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] RDM DeviceId: 421218BEAC994C05A58041C6FA6EDFFF
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] RDM APP KEY: com.tencent.ios.qqmusic
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Last Exception Backtrace :
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  CoreFoundation                 0x00000001967de750 0x00000001966b5000 + 1218384
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 1  libobjc.A.dylib                0x00000001ab2a57a0 objc_exception_throw + 52
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 2  CoreFoundation                 0x00000001966e03f0 0x00000001966b5000 + 177136
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 3  Foundation                     0x0000000197ab4710 0x0000000197a37000 + 513808
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 4  QQMusic                        0x00000001043ef470 -[KSNewAudioPlayerManager setLogProtocol:] + 188
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 5  QQMusic                        0x000000010137a210 -[AudioPlayManager setupNewPlayConfigure] + 96
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 6  QQMusic                        0x0000000101017660 __37-[QQMusicAppDelegate flashDidAppear:]_block_invoke_6 + 64
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 7  QQMusic                        0x00000001036e51e0 +[QMLaunchManager(Speedometer) executeInMain:as:] + 496
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 8  QQMusic                        0x0000000101017200 -[QQMusicAppDelegate flashDidAppear:] + 328
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 9  QQMusic                        0x00000001010143e0 -[QQMusicAppDelegate applicationDidFinishLaunchingWithOptionsAfterSafeMode:] + 1160
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 10 QQMusic                        0x0000000101013950 -[QQMusicAppDelegate realApplication:didFinishLaunchingWithOptions:] + 680
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 11 QQMusic                        0x0000000102975890 __59-[QQMusicSceneDelegate scene:willConnectToSession:options:]_block_invoke.168 + 164
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 7  QQMusic                        0x00000001036e51e0 +[QMLaunchManager(Speedometer) executeInMain:as:] + 496
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 13 QQMusic                        0x00000001029752b0 -[QQMusicSceneDelegate scene:willConnectToSession:options:] + 448
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 14 UIKitCore                      0x0000000198650ef0 0x0000000198602000 + 323312
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 15 UIKitCore                      0x00000001991ce0a0 0x0000000198602000 + 12370080
